ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender,Married,Dependents,Education,Self_Employed,Property_Area,Loan_Status
5849,0.0,128.0,360.0,1.0,Male,No,0,Graduate,No,Urban,Y
4583,1508.0,128.0,360.0,1.0,Male,Yes,1,Graduate,No,Rural,N
3000,0.0,66.0,360.0,1.0,Male,Yes,0,Graduate,Yes,Urban,Y
2583,2358.0,120.0,360.0,1.0,Male,Yes,0,Not Graduate,No,Urban,Y
6000,0.0,141.0,360.0,1.0,Male,No,0,Graduate,No,Urban,Y
5417,4196.0,267.0,360.0,1.0,Male,Yes,2,Graduate,Yes,Urban,Y
2333,1516.0,95.0,360.0,1.0,Male,Yes,0,Not Graduate,No,Urban,Y
3036,2504.0,158.0,360.0,0.0,Male,Yes,3+,Graduate,No,Semiurban,N
4006,1526.0,168.0,360.0,1.0,Male,Yes,2,Graduate,No,Urban,Y
12841,10968.0,349.0,360.0,1.0,Male,Yes,1,Graduate,No,Semiurban,N
3200,700.0,70.0,360.0,1.0,Male,Yes,2,Graduate,No,Urban,Y
2500,1840.0,109.0,360.0,1.0,Male,Yes,2,Graduate,No,Urban,Y
3073,8106.0,200.0,360.0,1.0,Male,Yes,2,Graduate,No,Urban,Y
1853,2840.0,114.0,360.0,1.0,Male,No,0,Graduate,No,Rural,N
1299,1086.0,17.0,120.0,1.0,Male,Yes,2,Graduate,No,Urban,Y
4950,0.0,125.0,360.0,1.0,Male,No,0,Graduate,No,Urban,Y
3596,0.0,100.0,240.0,0.0,Male,No,1,Not Graduate,No,Urban,Y
3510,0.0,76.0,360.0,0.0,Female,No,0,Graduate,No,Urban,N
4887,0.0,133.0,360.0,1.0,Male,Yes,0,Not Graduate,No,Rural,N
2600,3500.0,115.0,360.0,1.0,Male,Yes,0,Graduate,No,Urban,Y
7660,0.0,104.0,360.0,0.0,Male,Yes,0,Not Graduate,No,Urban,N
5955,5625.0,315.0,360.0,1.0,Male,Yes,1,Graduate,No,Urban,Y
2600,1911.0,116.0,360.0,0.0,Male,Yes,0,Not Graduate,No,Semiurban,N
3365,1917.0,112.0,360.0,0.0,Male,Yes,2,Not Graduate,No,Rural,N
3717,2925.0,151.0,360.0,1.0,Male,Yes,1,Graduate,No,Semiurban,N
9560,0.0,191.0,360.0,1.0,Male,Yes,0,Graduate,Yes,Semiurban,Y
2799,2253.0,122.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
4226,1040.0,110.0,360.0,1.0,Male,Yes,2,Not Graduate,No,Urban,Y
1442,0.0,35.0,360.0,1.0,Male,No,0,Not Graduate,No,Urban,N
3750,2083.0,120.0,360.0,1.0,Female,No,2,Graduate,No,Semiurban,Y
4166,3369.0,201.0,360.0,1.0,Male,Yes,1,Graduate,No,Urban,N
3167,0.0,74.0,360.0,1.0,Male,No,0,Graduate,No,Urban,N
4692,0.0,106.0,360.0,1.0,Male,No,1,Graduate,Yes,Rural,N
3500,1667.0,114.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
12500,3000.0,320.0,360.0,1.0,Male,No,3+,Graduate,No,Rural,N
2275,2067.0,100.0,360.0,1.0,Male,Yes,0,Graduate,No,Urban,Y
1828,1330.0,100.0,360.0,0.0,Male,Yes,0,Graduate,No,Urban,N
3667,1459.0,144.0,360.0,1.0,Female,Yes,0,Graduate,No,Semiurban,Y
4166,7210.0,184.0,360.0,1.0,Male,No,0,Graduate,No,Urban,Y
3748,1668.0,110.0,360.0,1.0,Male,No,0,Not Graduate,No,Semiurban,Y
3600,0.0,80.0,360.0,1.0,Male,No,0,Graduate,No,Urban,N
1800,1213.0,47.0,360.0,1.0,Male,No,0,Graduate,No,Urban,Y
2400,0.0,75.0,360.0,1.0,Male,Yes,0,Graduate,No,Urban,Y
3941,2336.0,134.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
4695,0.0,96.0,360.0,1.0,Male,Yes,0,Not Graduate,Yes,Urban,Y
3410,0.0,88.0,360.0,1.0,Female,No,0,Graduate,No,Urban,Y
5649,0.0,44.0,360.0,1.0,Male,Yes,1,Graduate,No,Urban,Y
5821,0.0,144.0,360.0,1.0,Male,Yes,0,Graduate,No,Urban,Y
2645,3440.0,120.0,360.0,0.0,Female,Yes,0,Graduate,No,Urban,N
4000,2275.0,144.0,360.0,1.0,Female,No,0,Graduate,No,Semiurban,Y
1928,1644.0,100.0,360.0,1.0,Female,Yes,0,Not Graduate,No,Semiurban,Y
3086,0.0,120.0,360.0,1.0,Female,No,0,Graduate,No,Semiurban,Y
4230,0.0,112.0,360.0,1.0,Female,No,0,Graduate,No,Semiurban,N
4616,0.0,134.0,360.0,1.0,Male,Yes,2,Graduate,No,Urban,N
11500,0.0,286.0,360.0,0.0,Female,Yes,1,Graduate,Yes,Urban,N
2708,1167.0,97.0,360.0,1.0,Male,Yes,2,Graduate,No,Semiurban,Y
2132,1591.0,96.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
3366,2200.0,135.0,360.0,1.0,Male,Yes,0,Graduate,No,Rural,N
8080,2250.0,180.0,360.0,1.0,Male,Yes,1,Graduate,No,Urban,Y
3357,2859.0,144.0,360.0,1.0,Male,Yes,2,Not Graduate,No,Urban,Y
2500,3796.0,120.0,360.0,1.0,Male,Yes,0,Graduate,No,Urban,Y
3029,0.0,99.0,360.0,1.0,Male,Yes,3+,Graduate,No,Urban,Y
2609,3449.0,165.0,180.0,0.0,Male,Yes,0,Not Graduate,Yes,Rural,N
4945,0.0,116.0,360.0,0.0,Male,Yes,1,Graduate,No,Rural,N
4166,0.0,116.0,360.0,0.0,Female,No,0,Graduate,No,Semiurban,N
5726,4595.0,258.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,N
3200,2254.0,126.0,180.0,0.0,Male,No,0,Not Graduate,No,Urban,N
10750,0.0,312.0,360.0,1.0,Male,Yes,1,Graduate,No,Urban,Y
7100,0.0,125.0,60.0,1.0,Male,Yes,3+,Not Graduate,Yes,Urban,Y
4300,0.0,136.0,360.0,0.0,Female,No,0,Graduate,No,Semiurban,N
3208,3066.0,172.0,360.0,1.0,Male,Yes,0,Graduate,No,Urban,Y
1875,1875.0,97.0,360.0,1.0,Male,Yes,2,Not Graduate,Yes,Semiurban,Y
3500,0.0,81.0,300.0,1.0,Male,No,0,Graduate,No,Semiurban,Y
4755,0.0,95.0,360.0,0.0,Male,Yes,3+,Not Graduate,No,Semiurban,N
5266,1774.0,187.0,360.0,1.0,Male,Yes,3+,Graduate,Yes,Semiurban,Y
3750,0.0,113.0,480.0,1.0,Male,No,0,Graduate,No,Urban,N
3750,4750.0,176.0,360.0,1.0,Male,No,0,Graduate,No,Urban,N
1000,3022.0,110.0,360.0,1.0,Male,Yes,1,Graduate,Yes,Urban,N
3167,4000.0,180.0,300.0,0.0,Male,Yes,3+,Graduate,No,Semiurban,N
3333,2166.0,130.0,360.0,1.0,Male,Yes,3+,Not Graduate,Yes,Semiurban,Y
3846,0.0,111.0,360.0,1.0,Female,No,0,Graduate,No,Semiurban,Y
2395,0.0,167.0,360.0,1.0,Male,Yes,1,Graduate,Yes,Semiurban,Y
1378,1881.0,167.0,360.0,1.0,Female,Yes,2,Graduate,No,Urban,N
6000,2250.0,265.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,N
3988,0.0,50.0,240.0,1.0,Male,Yes,1,Graduate,No,Urban,Y
2366,2531.0,136.0,360.0,1.0,Male,No,0,Graduate,No,Semiurban,Y
3333,2000.0,99.0,360.0,1.0,Male,Yes,2,Not Graduate,No,Semiurban,Y
2500,2118.0,104.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
8566,0.0,210.0,360.0,1.0,Male,No,0,Graduate,No,Urban,Y
5695,4167.0,175.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
2958,2900.0,131.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
6250,5654.0,188.0,180.0,1.0,Male,Yes,2,Graduate,No,Semiurban,Y
3273,1820.0,81.0,360.0,1.0,Male,Yes,2,Not Graduate,No,Urban,Y
4133,0.0,122.0,360.0,1.0,Male,No,0,Graduate,No,Semiurban,Y
3620,0.0,25.0,120.0,1.0,Male,No,0,Not Graduate,No,Semiurban,Y
6782,0.0,137.0,360.0,1.0,Male,No,0,Graduate,No,Urban,N
2484,2302.0,137.0,360.0,1.0,Female,Yes,0,Graduate,No,Semiurban,Y
1977,997.0,50.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
4188,0.0,115.0,180.0,1.0,Male,Yes,0,Not Graduate,No,Semiurban,Y
1759,3541.0,131.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
4288,3263.0,133.0,180.0,1.0,Male,Yes,2,Not Graduate,No,Urban,Y
4843,3806.0,151.0,360.0,1.0,Male,No,0,Graduate,No,Semiurban,Y
13650,0.0,160.0,360.0,1.0,Male,Yes,0,Graduate,No,Urban,Y
4652,3583.0,160.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
3816,754.0,160.0,360.0,1.0,Male,Yes,0,Graduate,No,Urban,Y
3052,1030.0,100.0,360.0,1.0,Male,Yes,1,Graduate,No,Urban,Y
11417,1126.0,225.0,360.0,1.0,Male,Yes,2,Graduate,No,Urban,Y
7333,0.0,120.0,360.0,1.0,Male,No,0,Not Graduate,No,Rural,N
3800,3600.0,216.0,360.0,0.0,Male,Yes,2,Graduate,No,Urban,N
2071,754.0,94.0,480.0,1.0,Male,Yes,3+,Not Graduate,No,Semiurban,Y
5316,0.0,136.0,360.0,1.0,Male,No,0,Graduate,No,Urban,Y
2929,2333.0,139.0,360.0,1.0,Female,Yes,0,Graduate,No,Semiurban,Y
3572,4114.0,152.0,360.0,0.0,Male,Yes,0,Not Graduate,No,Rural,N
7451,0.0,118.0,360.0,1.0,Female,No,1,Graduate,Yes,Semiurban,Y
5050,0.0,118.0,360.0,1.0,Male,No,0,Graduate,No,Semiurban,Y
14583,0.0,185.0,180.0,1.0,Male,Yes,1,Graduate,No,Rural,Y
3167,2283.0,154.0,360.0,1.0,Female,Yes,0,Graduate,No,Semiurban,Y
2214,1398.0,85.0,360.0,1.0,Male,Yes,1,Graduate,No,Urban,Y
5568,2142.0,175.0,360.0,1.0,Male,Yes,0,Graduate,No,Rural,N
10408,0.0,259.0,360.0,1.0,Female,No,0,Graduate,No,Urban,Y
5667,2667.0,180.0,360.0,1.0,Male,Yes,0,Graduate,No,Rural,Y
4166,0.0,44.0,360.0,1.0,Female,No,0,Graduate,No,Semiurban,Y
2137,8980.0,137.0,360.0,0.0,Female,No,0,Graduate,No,Semiurban,Y
2957,0.0,81.0,360.0,1.0,Male,Yes,2,Graduate,No,Semiurban,Y
4300,2014.0,194.0,360.0,1.0,Male,Yes,0,Not Graduate,No,Rural,Y
3692,0.0,93.0,360.0,1.0,Female,No,0,Graduate,No,Rural,Y
23803,0.0,370.0,360.0,1.0,Male,Yes,3+,Graduate,No,Rural,Y
3865,1640.0,160.0,360.0,1.0,Male,No,0,Graduate,No,Rural,Y
10513,3850.0,160.0,180.0,0.0,Male,Yes,1,Graduate,Yes,Urban,N
6080,2569.0,182.0,360.0,1.0,Male,Yes,0,Graduate,No,Rural,N
20166,0.0,650.0,480.0,1.0,Male,No,0,Graduate,Yes,Urban,Y
2014,1929.0,74.0,360.0,1.0,Male,No,0,Graduate,No,Urban,Y
2718,0.0,70.0,360.0,1.0,Male,No,0,Graduate,No,Semiurban,Y
3459,0.0,25.0,120.0,1.0,Male,Yes,0,Graduate,Yes,Semiurban,Y
4895,0.0,102.0,360.0,1.0,Male,No,0,Graduate,No,Semiurban,Y
4000,7750.0,290.0,360.0,1.0,Male,Yes,3+,Graduate,No,Semiurban,N
4583,0.0,84.0,360.0,1.0,Female,Yes,0,Graduate,No,Rural,N
3316,3500.0,88.0,360.0,1.0,Male,Yes,2,Graduate,Yes,Urban,Y
14999,0.0,242.0,360.0,0.0,Male,No,0,Graduate,No,Semiurban,N
4200,1430.0,129.0,360.0,1.0,Male,Yes,2,Not Graduate,No,Rural,N
5042,2083.0,185.0,360.0,1.0,Male,Yes,2,Graduate,No,Rural,N
5417,0.0,168.0,360.0,1.0,Male,No,0,Graduate,No,Urban,Y
6950,0.0,175.0,180.0,1.0,Male,No,0,Graduate,Yes,Semiurban,Y
2698,2034.0,122.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
11757,0.0,187.0,180.0,1.0,Male,Yes,2,Graduate,No,Urban,Y
2330,4486.0,100.0,360.0,1.0,Female,Yes,0,Graduate,No,Semiurban,Y
14866,0.0,70.0,360.0,1.0,Female,Yes,2,Graduate,No,Urban,Y
1538,1425.0,30.0,360.0,1.0,Male,Yes,1,Graduate,No,Urban,Y
10000,1666.0,225.0,360.0,1.0,Female,No,0,Graduate,No,Rural,N
4860,830.0,125.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
6277,0.0,118.0,360.0,0.0,Male,No,0,Graduate,No,Rural,N
2577,3750.0,152.0,360.0,1.0,Male,Yes,0,Graduate,Yes,Rural,Y
9166,0.0,244.0,360.0,1.0,Male,No,0,Graduate,No,Urban,N
2281,0.0,113.0,360.0,1.0,Male,Yes,2,Not Graduate,No,Rural,N
3254,0.0,50.0,360.0,1.0,Male,No,0,Graduate,No,Urban,Y
39999,0.0,600.0,180.0,0.0,Male,Yes,3+,Graduate,No,Semiurban,Y
6000,0.0,160.0,360.0,1.0,Male,Yes,1,Graduate,No,Rural,Y
9538,0.0,187.0,360.0,1.0,Male,Yes,1,Graduate,No,Urban,Y
2980,2083.0,120.0,360.0,1.0,Male,No,0,Graduate,No,Rural,Y
4583,5625.0,255.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
1863,1041.0,98.0,360.0,1.0,Male,Yes,0,Not Graduate,No,Semiurban,Y
7933,0.0,275.0,360.0,1.0,Male,Yes,0,Graduate,No,Urban,N
3089,1280.0,121.0,360.0,0.0,Male,Yes,1,Graduate,No,Semiurban,N
4167,1447.0,158.0,360.0,1.0,Male,Yes,2,Graduate,No,Rural,Y
9323,0.0,75.0,180.0,1.0,Male,Yes,0,Graduate,No,Urban,Y
3707,3166.0,182.0,360.0,1.0,Male,Yes,0,Graduate,No,Rural,Y
4583,0.0,112.0,360.0,1.0,Female,Yes,0,Graduate,No,Rural,N
2439,3333.0,129.0,360.0,1.0,Male,Yes,0,Graduate,No,Rural,Y
2237,0.0,63.0,480.0,0.0,Male,No,0,Graduate,No,Semiurban,N
8000,0.0,200.0,360.0,1.0,Male,Yes,2,Graduate,No,Semiurban,Y
1820,1769.0,95.0,360.0,1.0,Male,Yes,0,Not Graduate,No,Rural,Y
51763,0.0,700.0,300.0,1.0,Male,Yes,3+,Graduate,No,Urban,Y
3522,0.0,81.0,180.0,1.0,Male,Yes,3+,Not Graduate,No,Rural,N
5708,5625.0,187.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
4344,736.0,87.0,360.0,1.0,Male,Yes,0,Not Graduate,Yes,Semiurban,N
3497,1964.0,116.0,360.0,1.0,Male,Yes,0,Graduate,No,Rural,Y
2045,1619.0,101.0,360.0,1.0,Male,Yes,2,Graduate,No,Rural,Y
5516,11300.0,495.0,360.0,0.0,Male,Yes,3+,Graduate,No,Semiurban,N
3750,0.0,116.0,360.0,1.0,Male,Yes,1,Graduate,No,Semiurban,Y
2333,1451.0,102.0,480.0,0.0,Male,No,0,Not Graduate,No,Urban,N
6400,7250.0,180.0,360.0,0.0,Male,Yes,1,Graduate,No,Urban,N
1916,5063.0,67.0,360.0,1.0,Male,No,0,Graduate,No,Rural,N
4600,0.0,73.0,180.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
33846,0.0,260.0,360.0,1.0,Male,Yes,1,Graduate,No,Semiurban,N
3625,0.0,108.0,360.0,1.0,Female,Yes,0,Graduate,No,Semiurban,Y
39147,4750.0,120.0,360.0,1.0,Male,Yes,0,Graduate,Yes,Semiurban,Y
2178,0.0,66.0,300.0,0.0,Male,Yes,1,Graduate,Yes,Rural,N
2383,2138.0,58.0,360.0,1.0,Male,Yes,0,Graduate,No,Rural,Y
674,5296.0,168.0,360.0,1.0,Male,Yes,0,Graduate,Yes,Rural,Y
9328,0.0,188.0,180.0,1.0,Male,Yes,0,Graduate,No,Rural,Y
4885,0.0,48.0,360.0,1.0,Male,No,0,Not Graduate,No,Rural,Y
12000,0.0,164.0,360.0,1.0,Male,No,0,Graduate,No,Semiurban,N
6033,0.0,160.0,360.0,1.0,Male,Yes,0,Not Graduate,No,Urban,N
3858,0.0,76.0,360.0,1.0,Male,No,0,Graduate,No,Semiurban,Y
4191,0.0,120.0,360.0,1.0,Male,No,0,Graduate,No,Rural,Y
3125,2583.0,170.0,360.0,1.0,Male,Yes,1,Graduate,No,Semiurban,N
8333,3750.0,187.0,360.0,1.0,Male,No,0,Graduate,No,Rural,Y
1907,2365.0,120.0,360.0,1.0,Female,No,0,Not Graduate,No,Urban,Y
3416,2816.0,113.0,360.0,1.0,Female,Yes,0,Graduate,No,Semiurban,Y
11000,0.0,83.0,360.0,1.0,Male,No,0,Graduate,Yes,Urban,N
2600,2500.0,90.0,360.0,1.0,Male,Yes,1,Not Graduate,No,Semiurban,Y
4923,0.0,166.0,360.0,0.0,Male,No,2,Graduate,No,Semiurban,Y
3992,0.0,135.0,180.0,1.0,Male,Yes,3+,Not Graduate,No,Urban,N
3500,1083.0,135.0,360.0,1.0,Male,Yes,1,Not Graduate,No,Urban,Y
3917,0.0,124.0,360.0,1.0,Male,Yes,2,Not Graduate,No,Semiurban,Y
4408,0.0,120.0,360.0,1.0,Female,No,0,Not Graduate,No,Semiurban,Y
3244,0.0,80.0,360.0,1.0,Female,No,0,Graduate,No,Urban,Y
3975,2531.0,55.0,360.0,1.0,Male,No,0,Not Graduate,No,Rural,Y
2479,0.0,59.0,360.0,1.0,Male,No,0,Graduate,No,Urban,Y
3418,0.0,127.0,360.0,1.0,Male,No,0,Graduate,No,Semiurban,N
10000,0.0,214.0,360.0,1.0,Female,No,0,Graduate,No,Semiurban,N
3430,1250.0,128.0,360.0,0.0,Male,Yes,3+,Graduate,No,Semiurban,N
7787,0.0,240.0,360.0,1.0,Male,Yes,1,Graduate,Yes,Urban,Y
5703,0.0,130.0,360.0,1.0,Male,Yes,3+,Not Graduate,Yes,Rural,Y
3173,3021.0,137.0,360.0,1.0,Male,Yes,0,Graduate,No,Urban,Y
3850,983.0,100.0,360.0,1.0,Male,Yes,3+,Not Graduate,No,Semiurban,Y
150,1800.0,135.0,360.0,1.0,Male,Yes,0,Graduate,No,Rural,N
3727,1775.0,131.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
5000,0.0,72.0,360.0,0.0,Male,Yes,2,Graduate,No,Semiurban,N
4283,2383.0,127.0,360.0,0.0,Female,Yes,2,Graduate,No,Semiurban,Y
2221,0.0,60.0,360.0,0.0,Male,Yes,0,Graduate,No,Urban,N
4009,1717.0,116.0,360.0,1.0,Male,Yes,2,Graduate,No,Semiurban,Y
2971,2791.0,144.0,360.0,1.0,Male,No,0,Graduate,No,Semiurban,Y
7578,1010.0,175.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
6250,0.0,128.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
3250,0.0,170.0,360.0,1.0,Male,Yes,0,Graduate,No,Rural,N
4735,0.0,138.0,360.0,1.0,Male,Yes,0,Not Graduate,Yes,Urban,N
6250,1695.0,210.0,360.0,1.0,Male,Yes,2,Graduate,No,Semiurban,Y
4758,0.0,158.0,480.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
6400,0.0,200.0,360.0,1.0,Male,No,0,Graduate,Yes,Rural,Y
2491,2054.0,104.0,360.0,1.0,Male,Yes,1,Graduate,No,Semiurban,Y
3716,0.0,42.0,180.0,1.0,Male,Yes,0,Graduate,No,Rural,Y
3189,2598.0,120.0,360.0,1.0,Male,No,0,Not Graduate,No,Rural,Y
8333,0.0,280.0,360.0,1.0,Female,No,0,Graduate,No,Semiurban,Y
3155,1779.0,140.0,360.0,1.0,Male,Yes,1,Graduate,No,Semiurban,Y
5500,1260.0,170.0,360.0,1.0,Male,Yes,1,Graduate,No,Rural,Y
5746,0.0,255.0,360.0,1.0,Male,Yes,0,Graduate,No,Urban,N
3463,0.0,122.0,360.0,1.0,Female,No,0,Graduate,Yes,Urban,Y
3812,0.0,112.0,360.0,1.0,Female,No,1,Graduate,No,Rural,Y
3315,0.0,96.0,360.0,1.0,Male,Yes,1,Graduate,No,Semiurban,Y
5819,5000.0,120.0,360.0,1.0,Male,Yes,2,Graduate,No,Rural,Y
2510,1983.0,140.0,180.0,1.0,Male,Yes,1,Not Graduate,No,Urban,N
2965,5701.0,155.0,60.0,1.0,Male,No,0,Graduate,No,Urban,Y
6250,1300.0,108.0,360.0,1.0,Male,Yes,2,Graduate,Yes,Rural,Y
3406,4417.0,123.0,360.0,1.0,Male,Yes,0,Not Graduate,No,Semiurban,Y
6050,4333.0,120.0,180.0,1.0,Male,No,0,Graduate,Yes,Urban,N
9703,0.0,112.0,360.0,1.0,Male,Yes,2,Graduate,No,Urban,Y
6608,0.0,137.0,180.0,1.0,Male,Yes,1,Not Graduate,No,Urban,Y
2882,1843.0,123.0,480.0,1.0,Male,Yes,1,Graduate,No,Semiurban,Y
1809,1868.0,90.0,360.0,1.0,Male,Yes,0,Graduate,No,Urban,Y
1668,3890.0,201.0,360.0,0.0,Male,Yes,0,Not Graduate,No,Semiurban,N
3427,0.0,138.0,360.0,1.0,Female,No,2,Graduate,No,Urban,N
2583,2167.0,104.0,360.0,1.0,Male,No,0,Not Graduate,Yes,Rural,Y
2661,7101.0,279.0,180.0,1.0,Male,Yes,1,Not Graduate,No,Semiurban,Y
16250,0.0,192.0,360.0,0.0,Male,No,0,Graduate,Yes,Urban,N
3083,0.0,255.0,360.0,1.0,Female,No,3+,Graduate,No,Rural,Y
6045,0.0,115.0,360.0,0.0,Male,No,0,Not Graduate,No,Rural,N
5250,0.0,94.0,360.0,1.0,Male,Yes,3+,Graduate,No,Urban,N
14683,2100.0,304.0,360.0,1.0,Male,Yes,0,Graduate,No,Rural,N
4931,0.0,128.0,360.0,1.0,Male,Yes,3+,Not Graduate,No,Semiurban,N
6083,4250.0,330.0,360.0,1.0,Male,Yes,1,Graduate,No,Urban,Y
2060,2209.0,134.0,360.0,1.0,Male,No,0,Graduate,No,Semiurban,Y
3481,0.0,155.0,36.0,1.0,Female,No,1,Graduate,No,Semiurban,N
7200,0.0,120.0,360.0,1.0,Female,No,0,Graduate,No,Rural,Y
5166,0.0,128.0,360.0,1.0,Male,No,0,Graduate,Yes,Semiurban,Y
4095,3447.0,151.0,360.0,1.0,Male,No,0,Graduate,No,Rural,Y
4708,1387.0,150.0,360.0,1.0,Male,Yes,2,Graduate,No,Semiurban,Y
4333,1811.0,160.0,360.0,0.0,Male,Yes,3+,Graduate,No,Urban,Y
3418,0.0,135.0,360.0,1.0,Female,No,0,Graduate,No,Rural,N
2876,1560.0,90.0,360.0,1.0,Female,No,1,Graduate,No,Urban,Y
3237,0.0,30.0,360.0,1.0,Female,No,0,Graduate,No,Urban,Y
11146,0.0,136.0,360.0,1.0,Male,Yes,0,Graduate,No,Urban,Y
2833,1857.0,126.0,360.0,1.0,Male,No,0,Graduate,No,Rural,Y
2620,2223.0,150.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
3900,0.0,90.0,360.0,1.0,Male,Yes,2,Graduate,No,Semiurban,Y
2750,1842.0,115.0,360.0,1.0,Male,Yes,1,Graduate,No,Semiurban,Y
3993,3274.0,207.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
3103,1300.0,80.0,360.0,1.0,Male,Yes,0,Graduate,No,Urban,Y
14583,0.0,436.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
4100,0.0,124.0,360.0,0.0,Female,Yes,0,Not Graduate,No,Rural,Y
4053,2426.0,158.0,360.0,0.0,Male,No,1,Not Graduate,Yes,Urban,N
3927,800.0,112.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
2301,985.7999878,78.0,180.0,1.0,Male,Yes,2,Graduate,No,Urban,Y
1811,1666.0,54.0,360.0,1.0,Female,No,0,Graduate,No,Urban,Y
20667,0.0,89.0,360.0,1.0,Male,Yes,0,Graduate,No,Rural,N
3158,3053.0,89.0,360.0,1.0,Male,No,0,Graduate,No,Rural,Y
2600,1717.0,99.0,300.0,1.0,Female,No,0,Graduate,Yes,Semiurban,N
3704,2000.0,120.0,360.0,1.0,Male,Yes,0,Graduate,No,Rural,Y
4124,0.0,115.0,360.0,1.0,Female,No,0,Graduate,No,Semiurban,Y
9508,0.0,187.0,360.0,1.0,Male,No,0,Graduate,No,Rural,Y
3075,2416.0,139.0,360.0,1.0,Male,Yes,0,Graduate,No,Rural,Y
4400,0.0,127.0,360.0,0.0,Male,Yes,2,Graduate,No,Semiurban,N
3153,1560.0,134.0,360.0,1.0,Male,Yes,2,Graduate,No,Urban,Y
5417,0.0,143.0,480.0,0.0,Female,No,0,Graduate,No,Urban,N
2383,3334.0,172.0,360.0,1.0,Male,Yes,0,Graduate,No,Semiurban,Y
4416,1250.0,110.0,360.0,1.0,Male,Yes,3+,Graduate,No,Urban,Y
6875,0.0,200.0,360.0,1.0,Male,Yes,1,Graduate,No,Semiurban,Y
4666,0.0,135.0,360.0,1.0,Female,Yes,1,Graduate,No,Urban,Y
5000,2541.0,151.0,480.0,1.0,Female,No,0,Graduate,No,Rural,N
2014,2925.0,113.0,360.0,1.0,Male,Yes,1,Graduate,No,Urban,N
1800,2934.0,93.0,360.0,0.0,Male,Yes,0,Not Graduate,No,Urban,N
2875,1750.0,105.0,360.0,1.0,Male,Yes,0,Not Graduate,No,Semiurban,Y
5000,0.0,132.0,360.0,1.0,Female,No,0,Graduate,No,Rural,Y
1625,1803.0,96.0,360.0,1.0,Male,Yes,1,Graduate,No,Urban,Y
4000,2500.0,140.0,360.0,1.0,Male,No,0,Graduate,No,Rural,Y
